folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),slea12e,Epworth Sleepiness Scale: Chance of dozing while lying down in the afternoon when circumstances permit,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/hchs/variables?search=epworth),choices,,epworth,hchs_sleep_questionnaire;epwroth;ess_5lyingdown,,,
Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),slea12f,Epworth Sleepiness Scale: Chance of dozing while sitting and talking to someone,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/hchs/variables?search=epworth),choices,,epworth,hchs_sleep_questionnaire;epwroth;ess_6sittalk,,,
Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),slea12g,Epworth Sleepiness Scale: Chance of dozing while sitting quietly after lunch without alcohol,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/hchs/variables?search=epworth),choices,,epworth,hchs_sleep_questionnaire;epwroth;ess_7afterlunch,,,
Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),slea12h,"Epworth Sleepiness Scale: Chance of dozing while in a car, while stopped for a few minutes in traffic",Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/hchs/variables?search=epworth),choices,,epworth,hchs_sleep_questionnaire;epwroth;ess_8stoppedcar,,,
Sleep Questionnaires/Hypersomnia,slea12i,Doze Off Situations: At the dinner table,,choices,,epworth,hchs_sleep_questionnaire;subjective_sleepiness,,,
Sleep Questionnaires/Hypersomnia,slea12j,Doze Off Situations: While driving,,choices,,epworth,hchs_sleep_questionnaire;subjective_sleepiness,,,
Sleep Questionnaires/Sleep Disordered Breathing,slea13,How Often Snore,,choices,,snore_frequency,hchs_sleep_questionnaire;snore,,,
Sleep Questionnaires/Sleep Disordered Breathing,slea14,Show often stop breathing while sleeping,,choices,,stop_breathing_frequency,hchs_sleep_questionnaire;snore,,,
Sleep Questionnaires/Parasomnia,slea15,Sensation in legs discomfort,,choices,,noyesdkq,hchs_sleep_questionnaire;rls_plms,,,
Sleep Questionnaires/Parasomnia,slea16,Need to relieve disconfort in legs,,choices,,noyesdkqs,hchs_sleep_questionnaire;rls_plms,,,
Sleep Questionnaires/Parasomnia,slea17,Discomfort in legs worse when at rest,,choices,,noyesdkqs,hchs_sleep_questionnaire;rls_plms,,,
Sleep Questionnaires/Parasomnia,slea18,Discomfort in legs worse later in day or at night,,choices,,noyesdkqs,hchs_sleep_questionnaire;rls_plms,,,
Sleep Questionnaires,slea1a,,,time,,,hchs_sleep_questionnaire,,,
Sleep Questionnaires/Sleep Habits,slea1a_2401,Time Usually go to Bed: Work/School Days (24 hrs),,time,,,hchs_sleep_questionnaire;sleep_timing,,,
Sleep Questionnaires,slea1c,,,time,,,hchs_sleep_questionnaire,,,
Sleep Questionnaires/Sleep Habits,slea1c_2401,Time Usually go to Bed: Non-Work/School Days (24 hrs),,time,,,hchs_sleep_questionnaire;sleep_timing,,,
Sleep Questionnaires,slea2a,,,time,,,hchs_sleep_questionnaire,,,
Sleep Questionnaires/Sleep Habits,slea2a_2401,Time Usually Wake Up: Work/School Days (24 hrs),,time,,,hchs_sleep_questionnaire;sleep_timing,,,
Sleep Questionnaires,slea2c,,,time,,,hchs_sleep_questionnaire,,,
Sleep Questionnaires/Sleep Habits,slea2c_2401,Time Usually Wake Up: Non-Work/School Days (24 hrs),,time,,,hchs_sleep_questionnaire;sleep_timing,,,
Sleep Questionnaires/Sleep Habits,slea3,Nap for 5 min or more during a usual week,,choices,,nap_usual_week,hchs_sleep_questionnaire;sleep_hygiene,,,
Sleep Questionnaires/Sleep Disturbance,slea4,Trouble falling asleep,,choices,,sleep_habits,hchs_sleep_questionnaire;insomnia,,,
Sleep Questionnaires/Sleep Disturbance,slea5,Wake up several times at night,,choices,,sleep_habits,hchs_sleep_questionnaire;insomnia,,,
Sleep Questionnaires/Sleep Disturbance,slea6,Wake up earlier than you plan,,choices,,sleep_habits,hchs_sleep_questionnaire;insomnia,,,
Sleep Questionnaires/Sleep Disturbance,slea7,Trouble getting back to sleep,,choices,,sleep_habits,hchs_sleep_questionnaire;insomnia,,,
Sleep Questionnaires/Sleep Disturbance,slea8,Take sleeping pills,,choices,,sleep_habits,hchs_sleep_questionnaire;insomnia,,,
Sleep Questionnaires/Sleep Disturbance,slea9,Sleep difficulties make irritable (SLEA9),,choices,,sleep_habits,hchs_sleep_questionnaire;sleep_related_impairment,,,
Medical History/Medications,sleep_med,Highest reported frequency of sleeping medication usage,,numeric,,,,,,
Sleep Monitoring/Polysomnography/Administrative,slpa10,Hours of valid recording time in supine position - Cannula,,numeric,hours,,,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa100,Percentage of total estimated sleep duration with < 75% oxygen saturation from type III home sleep apnea test,"Sleep duration is the interval between sleep onset time and lights on/out-bed time while asleep. Estimated sleep duration, providing an approximation of total sleep duration (i.e. total sleep time) inferred from analysis of non-EEG channels [Zhao et al., 2017 (PMID:27707441)]( https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181603/)",numeric,percent,,pctdursp_salt75_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa101,Percentage of total estimated sleep duration with < 70% oxygen saturation from type III home sleep apnea test,"Estimated sleep duration, providing an approximation of total sleep duration (i.e. total sleep time) inferred from analysis of non-EEG channels [Zhao et al., 2017 (PMID:27707441)]( https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181603/)",numeric,percent,,pctdursp_salt70_f1t3,,,
Sleep Monitoring/Polysomnography/Signal Quality,slpa102,Total time of artifact SpO2 (hours),,numeric,hours,,,,,
Sleep Monitoring/Polysomnography/Signal Quality,slpa103,Total time of poor SpO2 (hours),,numeric,hours,,,,,
Sleep Monitoring/Polysomnography/Signal Quality,slpa104,Percent of time with artifact SpO2,,numeric,percent,,,,,
Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa105,Average oxygen desaturation over estimated sleep duration from type III home sleep apnea test,"Estimated sleep duration, providing an approximation of total sleep duration (i.e. total sleep time) inferred from analysis of non-EEG channels [Zhao et al., 2017 (PMID:27707441)]( https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181603/) ",numeric,percent,,avglvlds_f1t3,,,
Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa106,Average level of oxygen desaturation in non-supine position from type III home sleep apnea test,,numeric,percent,,avglvlds_po_f1t3,,,
Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa107,Average level of oxygen desaturation in supine position from type III home sleep apnea test,,numeric,percent,,avglvlds_pb_f1t3,,,
Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa108,Average level of nadirs from type III home sleep apnea test,,numeric,percent,,avglvlnd_f1t3,,,
Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa109,Mean SpO2 desaturation starting SpO2,,numeric,percent,,,,,
Sleep Monitoring/Polysomnography/Administrative,slpa11,Hours of valid recording time in non-supine position - Cannula,,numeric,hours,,,,,
Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa110,Mean SpO2 desaturation recovery,,numeric,percent,,,,,
Sleep Monitoring/Polysomnography/Heart Rate,slpa111,Minimum heart rate during estimated sleep duration from type III home sleep apnea test,"Estimated sleep duration, providing an approximation of total sleep duration (i.e. total sleep time) inferred from analysis of non-EEG channels [Zhao et al., 2017 (PMID:27707441)]( https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181603/) ",numeric,beats per minute,,minlvlhr_f1t3,,,
Sleep Monitoring/Polysomnography/Heart Rate,slpa112,Maximum heart rate during estimated sleep duration from type III home sleep apnea test,"Estimated sleep duration, providing an approximation of total sleep duration (i.e. total sleep time) inferred from analysis of non-EEG channels [Zhao et al., 2017 (PMID:27707441)]( https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181603/) ",numeric,beats per minute,,maxlvlhr_f1t3,,,
Sleep Monitoring/Polysomnography/Heart Rate,slpa113,Average heart rate over estimated sleep duration from type III home sleep apnea test,"Estimated sleep duration, providing an approximation of total sleep duration (i.e. total sleep time) inferred from analysis of non-EEG channels [Zhao et al., 2017 (PMID:27707441)]( https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181603/) ",numeric,beats per minute,,avglvlhr_f1t3,,,
Sleep Monitoring/Polysomnography/Heart Rate,slpa114,Standard deviation level of heart rate from type III home sleep apnea test,,numeric,beats per minute,,stdlvlhr_f1t3,,,
Sleep Monitoring/Polysomnography/Sound Events,slpa115,Mean Snore level (dB),,numeric,decibels,,,,,
Sleep Monitoring/Polysomnography/Sound Events,slpa116,Total time spent in loud snoring,,numeric,minutes,,,,,
Sleep Monitoring/Polysomnography/Sound Events,slpa117,Percent of time with Snoring level > 30 dB,,numeric,percent,,,,,
Sleep Monitoring/Polysomnography/Sound Events,slpa118,Percent of time with Snoring level > 40 dB,,numeric,percent,,,,,
Sleep Monitoring/Polysomnography/Sound Events,slpa119,Percent of time with Snoring level > 50 dB,,numeric,percent,,,,,
Sleep Monitoring/Polysomnography/Sound Events,slpa12,Hours of valid recording time - SpO2,,numeric,hours,,,,,
Sleep Monitoring/Polysomnography/Sound Events,slpa120,Percent of time with Snoring level > 60 dB,,numeric,percent,,,,,
Sleep Monitoring/Polysomnography/Administrative,slpa121,Reasons for Short Studies: SLP_OVERALL_FAIL_CODE,,choices,,reasons_short_study,,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa13,Total recording period in supine position from type III home sleep apnea test,,numeric,hours,,ttlprdrd_pb_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa14,Total recording period in non-supine position from type III home sleep apnea test,,numeric,hours,,ttlprdrd_po_f1t3,,,
Sleep Monitoring/Polysomnography/Administrative,slpa15,Overall Study Quality,,choices,,overall_study_quality,,,,
Sleep Monitoring/Polysomnography/Administrative,slpa16,Urgent Referral - AHI > 50,,choices,,noyes01,,,,
Sleep Monitoring/Polysomnography/Administrative,slpa18,Urgent Referral - Baseline sat < 90,,choices,,noyes01,,,,
Sleep Monitoring/Polysomnography/Administrative,slpa20,Urgent Referral - sat < 90 for 10% of recording,,choices,,noyes01,,,,
Sleep Monitoring/Polysomnography/Administrative,slpa22,Urgent Referral - HR > 150,,choices,,noyes01,,,,
Sleep Monitoring/Polysomnography/Administrative,slpa24,Urgent Referral - HR < 30,,choices,,noyes01,,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa27,Total in-bed period from type III home sleep apnea test,"In-bed period is the interval between lights off/in-bed time and lights on/out-bed time, used in polysomnography.",numeric,hours,,ttlprdbd_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa28,Total recording period from type III home sleep apnea test,,numeric,hours,,ttlprdrd_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa29,Total recording period from type III home sleep apnea test,,numeric,seconds,,ttlprdrd_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa30,Total recording period from type III home sleep apnea test,,numeric,hours,,ttlprdrd_wr_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa31,Total recording period from type III home sleep apnea test,,numeric,seconds,,ttlprdrd_wr_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa32,Total recording period in non-supine position from type III home sleep apnea test,,numeric,hours,,ttlprdrd_po_wr_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa33,Percentage of total estimated sleep duration in non-supine position from type III home sleep apnea test,,numeric,percent,,pctdursp_po_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa34,Total recording period in supine position from type III home sleep apnea test,,numeric,hours,,ttlprdrd_pb_wr_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa35,Percentage of total estimated sleep duration in supine position from type III home sleep apnea test,,numeric,percent,,pctdursp_pb_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa36,Apnea-Hypopnea Index: (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and no oxygen desaturation threshold used) / hours of sleep from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_ap0nhp5x0n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa37,Apnea-Hypopnea Index (Non-Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and no oxygen desaturation threshold used) / hours of sleep in non-supine position from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_po_ap0nhp5x0n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa38,Apnea-Hypopnea Index (Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and no oxygen desaturation threshold used) / hours of sleep in supine position from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_pb_ap0nhp5x0n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa39,Total Number of Apnea and Hypopnea: Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and no oxygen desaturation threshold used during sleep from type III home sleep apnea test,,numeric,,,ttlnumah_ap0nhp5x0n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa40,Total Number of Apneas and Hypopneas (Non-Supine):  Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and no oxygen desaturation threshold used during sleep in non-supine position from type III home sleep apnea test,,numeric,,,ttlnumah_po_ap0nhp5x0n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa41,Total Number of Apneas and Hypopneas (Supine):  Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and no oxygen desaturation threshold used during sleep in supine position from type III home sleep apnea test,,numeric,,,ttlnumah_pb_ap0nhp5x0n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa42,Total Duration of Apnea and Hypopnea: Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and no oxygen desaturation threshold used during sleep from type III home sleep apnea test,,numeric,hours,,ttldurah_ap0nhp5x0n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa43,Total Duration of Apnea and Hypopnea (Non-Supine): Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and no oxygen desaturation threshold used during sleep in non-supine position from type III home sleep apnea test,,numeric,seconds,,ttldurah_po_ap0nhp5x0n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa44,Total Duration of Apnea and Hypopnea (Supine): Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and no oxygen desaturation threshold used during sleep in supine position from type III home sleep apnea test,,numeric,seconds,,ttldurah_pb_ap0nhp5x0n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa45,Apnea Hypopnea Index: (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 1% oxygen desaturation) / hours of sleep from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_ap0nhp5x1n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa46,Apnea Hypopnea Index (Non-Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 1% oxygen desaturation) / hours of sleep in non-supine position from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_po_ap0nhp5x1n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa47,Apnea Hypopnea Index (Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 1% oxygen desaturation) / hours of sleep in supine position from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_pb_ap0nhp5x1n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa48,Total Number of Apneas and Hypopneas: Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 1% oxygen desaturation during sleep from type III home sleep apnea test,,numeric,,,ttlnumah_ap0nhp5x1n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa49,Total Number of Apneas and Hypopneas (Non-Supine): Apneas with no oxygen desaturation threshold used + hypopneas with > 50% flow reduction and >= 1% oxygen desaturation during sleep in non-supine position from type III home sleep apnea test,,numeric,,,ttlnumah_po_ap0nhp5x1n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa50,Total Number of Apneas and Hypopneas (Supine): Apneas with no oxygen desaturation threshold used + hypopneas with > 50% flow reduction and >= 1% oxygen desaturation during sleep in supine position from type III home sleep apnea test,,numeric,,,ttlnumah_pb_ap0nhp5x1n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa51,Total Duration of Apnea and Hypopnea: Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 1% oxygen desaturation during sleep from type III home sleep apnea test,,numeric,hours,,ttldurah_ap0nhp5x1n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa52,Total Duration of Apnea and Hypopnea (Non-Supine): Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 1% oxygen desaturation during sleep in non-supine position from type III home sleep apnea test,,numeric,seconds,,ttldurah_po_ap0nhp5x1n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa53,Total Duration of Apnea and Hypopnea (Supine): Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 1% oxygen desaturation during sleep in supine position from type III home sleep apnea test,,numeric,seconds,,ttldurah_pb_ap0nhp5x1n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa54,Apnea Hypopnea Index: (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation) / hours of sleep from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_ap0nhp5x3n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa55,Apnea Hypopnea Index (Non-Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation) / hours of sleep in non-supine position from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_po_ap0nhp5x3n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa56,Apnea Hypopnea Index (Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation) / hours of sleep in supine position from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_pb_ap0nhp5x3n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa57,Total Number of Apneas and Hypopneas: Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation during sleep from type III home sleep apnea test,,numeric,,,ttlnumah_ap0nhp5x3n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa58,Total Number of Apneas and Hypopneas (Non-Supine): Apneas with no oxygen desaturation threshold used + hypopneas with > 50% flow reduction and >= 3% oxygen desaturation during sleep in non-supine position from type III home sleep apnea test,,numeric,,,ttlnumah_po_ap0nhp5x3n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa59,Total Number of Apneas and Hypopneas (Supine): Apneas with no oxygen desaturation threshold used + hypopneas with > 50% flow reduction and >= 3% oxygen desaturation during sleep in supine position from type III home sleep apnea test,,numeric,,,ttlnumah_pb_ap0nhp5x3n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa60,Total Duration of Apnea and Hypopnea: Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation during sleep from type III home sleep apnea test,,numeric,hours,,ttldurah_ap0nhp5x3n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa61,Total Duration of Apnea and Hypopnea (Non-Supine): Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation during sleep in non-supine position from type III home sleep apnea test,,numeric,seconds,,ttldurah_po_ap0nhp5x3n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa62,Total Duration of Apnea and Hypopnea (Supine): Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation during sleep in supine position from type III home sleep apnea test,,numeric,seconds,,ttldurah_pb_ap0nhp5x3n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa63,Apnea Hypopnea Index: (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 4% oxygen desaturation) / hours of sleep from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_ap0nhp5x4n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa64,Apnea Hypopnea Index (Non-Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 4% oxygen desaturation) / hours of sleep in non-supine position from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_po_ap0nhp5x4n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa65,Apnea Hypopnea Index (Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 4% oxygen desaturation) / hours of sleep in supine position from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_pb_ap0nhp5x4n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa66,Total Number of Apneas and Hypopneas: Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 4% oxygen desaturation during sleep from type III home sleep apnea test,,numeric,,,ttlnumah_ap0nhp5x4n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa67,Total Number of Apneas and Hypopneas (Non-Supine): Apneas with no oxygen desaturation threshold used + hypopneas with > 50% flow reduction and >= 4% oxygen desaturation during sleep in non-supine position from type III home sleep apnea test,,numeric,,,ttlnumah_po_ap0nhp5x4n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa68,Total Number of Apneas and Hypopneas (Supine): Apneas with no oxygen desaturation threshold used + hypopneas with > 50% flow reduction and >= 4% oxygen desaturation during sleep in supine position from type III home sleep apnea test,,numeric,,,ttlnumah_pb_ap0nhp5x4n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa69,Total Duration of Apnea and Hypopnea: Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 4% oxygen desaturation during sleep from type III home sleep apnea test,,numeric,hours,,ttldurah_ap0nhp5x4n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa70,Total Duration of Apnea and Hypopnea (Non-Supine): Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 4% oxygen desaturation during sleep in non-supine position from type III home sleep apnea test,,numeric,seconds,,ttldurah_po_ap0nhp5x4n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa71,Total Duration of Apnea and Hypopnea (Supine): Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 4% oxygen desaturation during sleep in supine position from type III home sleep apnea test,,numeric,seconds,,ttldurah_pb_ap0nhp5x4n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa72,Apnea Index: Apneas with no oxygen desaturation threshold used / hours of sleep from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ai_ap0n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa73,Apnea Index (Non-Supine) : Apneas with no oxygen desaturation threshold used / hours of sleep in non-supine position from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ai_po_ap0n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa74,Apnea Index (Supine) : Apneas with no oxygen desaturation threshold used / hours of sleep in supine position from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ai_pb_ap0n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa75,Total number of apneas with no oxygen desaturation threshold used during sleep from type III home sleep apnea test,,numeric,,,ttlnumap_ap0n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa76,Total number of apneas with no oxygen desaturation threshold used during sleep in non-supine position from type III home sleep apnea test,,numeric,,,ttlnumap_po_ap0n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa77,Total number of apneas with no oxygen desaturation threshold used during sleep in supine position from type III home sleep apnea test,,numeric,,,ttlnumap_pb_ap0n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa78,Total Duration of Apnea: Apneas with no oxygen desaturation threshold used during sleep from type III home sleep apnea test,,numeric,hours,,ttldurap_ap0n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa79,Total Duration of Apnea (Non-Supine): Apneas with no oxygen desaturation threshold used during sleep in non-supine position from type III home sleep apnea test,,numeric,seconds,,ttldurap_po_ap0n_f1t3,,,
Sleep Monitoring/Polysomnography/Sleep Architecture,slpa80,Total Duration of Apnea (Supine): Apneas with no oxygen desaturation threshold used during sleep in supine position from type III home sleep apnea test,,numeric,seconds,,ttldurap_pb_ap0n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa81,Central Apnea Index : Central apneas with no oxygen desaturation threshold used / hours of sleep from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,cai_ca0n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa82,Central Apnea Index (Non-Supine) : Central apneas with no oxygen desaturation threshold used / hours of sleep in non-supine position from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,cai_po_ca0n_f1t3,,,
Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa83,Central Apnea Index (Supine) : Central apneas with no oxygen desaturation threshold used / hours of sleep in supine position from type III home sleep apnea test,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,cai_pb_ca0n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa84,Total number of central apneas with no oxygen desaturation threshold used from type III home sleep apnea test,,numeric,,,ttlnumca_ca0n_f1t3,,,
Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa85,Total number of central apneas with no oxygen desaturation threshold used during sleep in non-supine position from type III home sleep apnea test,,numeric,,,ttlnumca_po_ca0n_f1t3,,,
