,folder,id,display_name,display_name.new,description,description.new,type,units,domain,labels,calculation,commonly_used,folder.new,nsrr_label
61,Sleep Monitoring/Actigraphy,sawa116,Number of weekdays with naps at least 15 minutes in length, from actigraphy,,NA,numeric,days,,TtlDayNp_ir_w5_npge15_f2,NA,NA,NA,TtlDayNp_ir_w5_npge15_f2
268,Sleep Monitoring/Actigraphy,sawa302,Number of reliable days with naps, from actigraphy,This is the number of reliable days that have at least one nap. This refers to the number of reliable days on which a participant reported taking naps.,NA,numeric,days,,TtlDayNp_ir_w7_f2,NA,NA,NA,TtlDayNp_ir_w7_f2
297,Sleep Monitoring/Actigraphy,sawa329,Number of days logged in sleep diary, from survey questionnaires,,NA,numeric,days,,TtlDayRd_ir_w7_f3,NA,NA,NA,TtlDayRd_ir_w7_f3
301,Sleep Monitoring/Actigraphy,sawa332,Total number of workdays with sleep data recorded , from actigraphy,This is the number of daily sleep log entries on which the participant reported going to work or school. ,NA,numeric,days,,TtlDayRd_ir_ww_f2,NA,NA,NA,TtlDayRd_ir_ww_f2
54,Sleep Monitoring/Actigraphy,sawa11,Total number of valid days on weekends, from actigraphy,,NA,numeric,,,TtlDayVa_ib_w2_f2,NA,NA,NA,TtlDayVa_ib_w2_f2
43,Sleep Monitoring/Actigraphy,sawa10,Total number of valid days on weekdays, from actigraphy,,NA,numeric,,,TtlDayVa_ib_w5_f2,NA,NA,NA,TtlDayVa_ib_w5_f2
370,Sleep Monitoring/Actigraphy,sawa9,Total number of valid days, from survey questionnaires,,NA,numeric,,,TtlDayVa_ib_w7_f3,NA,NA,NA,TtlDayVa_ib_w7_f3
314,Sleep Monitoring/Actigraphy,sawa344,Total number of days with valid actigraphy data on which the participant self-reported as not having attended work or school in the daily sleep log, from actigraphy,The number of days with valid actigraphy data on which the participant self-reported as not having attended work or school.,NA,numeric,days,,TtlDayVa_ir_wn_f2,NA,NA,NA,TtlDayVa_ir_wn_f2
313,Sleep Monitoring/Actigraphy,sawa343,Total number of days with valid actigraphy data on which the participant self-reported as having attended work or school in the daily sleep log, from actigraphy,The number of days with valid actigraphy data on which the participant self-reported as having attended work or school in the daily sleep log. ,NA,numeric,days,,TtlDayVa_ir_ww_f2,NA,NA,NA,TtlDayVa_ir_ww_f2
375,Sleep Monitoring/Actigraphy,sawa94,Number of weekdays with sleep data recorded, from actigraphy,,NA,numeric,days,,TtlNumRs_ib_wf_f2,NA,NA,NA,TtlNumRs_ib_wf_f2
89,Sleep Monitoring/Actigraphy,sawa141,Number of weekends with sleep data recorded, from actigraphy,,NA,numeric,weekends,,TtlNumRs_ib_ws_f2,NA,NA,NA,TtlNumRs_ib_ws_f2
245,Sleep Monitoring/Actigraphy,sawa282,Number of reliable days with sleep data recorded, from actigraphy,"This is the number of main rest intervals for which the sum of the quality score for in bed and out of bed times is 5 or 6. Bed times are given a reliability score between 1 and 3:  -8 = Not Applicable, -1 = Flag/ Confusion, 0 = No Evidence of Sleep, 1 = Unreliable, 2 = Somewhat reliable, 3 = Mostly reliable  ",NA,numeric,days,,TtlNumRs_ir_w7_f2,NA,NA,NA,TtlNumRs_ir_w7_f2
325,Sleep Monitoring/Actigraphy,sawa47,Number of days with sleep data recorded, from actigraphy,"This is the number of valid main rest intervals in the recording that meet quality criteria. Main rest intervals are the intervals of time between the epoch at which the participant went to bed and the epoch at which the participant got out of bed, as marked by the scorer. It refers to the participant�s �nightly� time in bed, including time awake and asleep. ",NA,numeric,days,,TtlNumRs_ir_w7_f2,NA,NA,NA,TtlNumRs_ir_w7_f2
193,Sleep Monitoring/Actigraphy,sawa235,Number of non-workdays with sleep data, from actigraphy,,NA,numeric,days,,TtlNumRs_ir_wm_f2,NA,NA,NA,TtlNumRs_ir_wm_f2
140,Sleep Monitoring/Actigraphy,sawa188,Number of workdays with sleep data recorded, from actigraphy,,NA,numeric,workdays,,TtlNumRs_ir_wv_f2,NA,NA,NA,TtlNumRs_ir_wv_f2
449,Sleep Monitoring/Actigraphy,valid_actigraphy,Valid actigraphy record, ,,NA,choices,,noyes01,,NA,NA,NA,NA
450,Sleep Monitoring/Actigraphy,wsleeptime_actigraphy,Average sleep time from actigraphy, ,Weighted average for weekdays and weekends,NA,numeric,hours per day,,,NA,NA,NA,NA
65,Sleep Monitoring/Actigraphy/Administrative,sawa12_days,Days since main study baseline visit to collection start date, ,,NA,numeric,days,,,NA,NA,NA,NA
76,Sleep Monitoring/Actigraphy/Administrative,sawa13,Data collection start time, ,,NA,time,,,,NA,NA,NA,NA
87,Sleep Monitoring/Actigraphy/Administrative,sawa14_days,Days since main study baseline visit to collection end date, ,,NA,numeric,days,,,NA,NA,NA,NA
98,Sleep Monitoring/Actigraphy/Administrative,sawa15,Data collection end time, ,,NA,time,,,,NA,NA,NA,NA
153,Sleep Monitoring/Actigraphy/Administrative,sawa2,Contact Occasion, ,,NA,choices,,visit,,NA,NA,NA,NA
264,Sleep Monitoring/Actigraphy/Administrative,sawa3,Site ID, ,,NA,numeric,,,,NA,NA,NA,NA
310,Sleep Monitoring/Actigraphy/Administrative,sawa340,Study overlaps daylight savings time (March or November), ,,NA,choices,,dst,,NA,NA,NA,NA
311,Sleep Monitoring/Actigraphy/Administrative,sawa341,Original epoch length for processed actigraphy study, ,,NA,numeric,seconds,,,NA,NA,NA,NA
312,Sleep Monitoring/Actigraphy/Administrative,sawa342,Version of Actiware software, ,,NA,numeric,,,,NA,NA,NA,NA
320,Sleep Monitoring/Actigraphy/Administrative,sawa4,Valid/Invalid Status, ,,NA,numeric,,,,NA,NA,NA,NA
338,Sleep Monitoring/Actigraphy/Administrative,sawa6,Actiwatch Unit ID, ,,NA,numeric,,,,NA,NA,NA,NA
359,Sleep Monitoring/Actigraphy/Administrative,sawa8,Was sleep journal received?, ,,NA,numeric,,,,NA,NA,NA,NA
381,Sleep Monitoring/Polysomnography/Administrative,slpa10,Hours of valid recording time in supine position - Cannula, ,,NA,numeric,hours,,,NA,NA,NA,NA
389,Sleep Monitoring/Polysomnography/Administrative,slpa11,Hours of valid recording time in non-supine position - Cannula, ,,NA,numeric,hours,,,NA,NA,NA,NA
399,Sleep Monitoring/Polysomnography/Administrative,slpa121,Reasons for Short Studies: SLP_OVERALL_FAIL_CODE, ,,NA,choices,,reasons_short_study,,NA,NA,NA,NA
402,Sleep Monitoring/Polysomnography/Administrative,slpa15,Overall Study Quality, ,,NA,choices,,overall_study_quality,,NA,NA,NA,NA
403,Sleep Monitoring/Polysomnography/Administrative,slpa16,Urgent Referral - AHI > 50, ,,NA,choices,,noyes01,,NA,NA,NA,NA
404,Sleep Monitoring/Polysomnography/Administrative,slpa18,Urgent Referral - Baseline sat < 90, ,,NA,choices,,noyes01,,NA,NA,NA,NA
405,Sleep Monitoring/Polysomnography/Administrative,slpa20,Urgent Referral - sat < 90 for 10% of recording, ,,NA,choices,,noyes01,,NA,NA,NA,NA
406,Sleep Monitoring/Polysomnography/Administrative,slpa22,Urgent Referral - HR > 150, ,,NA,choices,,noyes01,,NA,NA,NA,NA
407,Sleep Monitoring/Polysomnography/Administrative,slpa24,Urgent Referral - HR < 30, ,,NA,choices,,noyes01,,NA,NA,NA,NA
442,Sleep Monitoring/Polysomnography/Administrative,slpa9,Hours of valid recording time - Cannula, ,,NA,numeric,hours,,,NA,NA,NA,NA
29,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa36,Apnea/Hypopnea Index (all desats),Apnea-Hypopnea Index: (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and no oxygen desaturation threshold used) / hours of sleep from type III home sleep apnea test,,NA,numeric,events per hour,,ahi_ap0nhp5x0n_f1t3,NA,NA,NA,ahi_ap0nhp5x0n_f1t3
32,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa45,Apnea/Hypopnea Index (1% desat),Apnea Hypopnea Index: (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 1% oxygen desaturation) / hours of sleep from type III home sleep apnea test,,NA,numeric,events per hour,,ahi_ap0nhp5x1n_f1t3,NA,NA,NA,ahi_ap0nhp5x1n_f1t3
10,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa54,Apnea/Hypopnea Index (3% desat),Apnea Hypopnea Index: (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation) / hours of sleep from type III home sleep apnea test,,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_ap0nhp5x3n_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,ahi_ap0nhp5x3n_f1t3
35,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa63,Apnea/Hypopnea Index (4% desat),Apnea Hypopnea Index: (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 4% oxygen desaturation) / hours of sleep from type III home sleep apnea test,,NA,numeric,events per hour,,ahi_ap0nhp5x4n_f1t3,NA,NA,NA,ahi_ap0nhp5x4n_f1t3
31,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa38,"Apnea/Hypopnea Index (all desats, supine)",Apnea-Hypopnea Index (Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and no oxygen desaturation threshold used) / hours of sleep in supine position from type III home sleep apnea test,,NA,numeric,events per hour,,ahi_pb_ap0nhp5x0n_f1t3,NA,NA,NA,ahi_pb_ap0nhp5x0n_f1t3
34,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa47,"Apnea/Hypopnea Index (1% desat, supine)",Apnea Hypopnea Index (Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 1% oxygen desaturation) / hours of sleep in supine position from type III home sleep apnea test,,NA,numeric,events per hour,,ahi_pb_ap0nhp5x1n_f1t3,NA,NA,NA,ahi_pb_ap0nhp5x1n_f1t3
12,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa56,"Apnea/Hypopnea Index (3% desat, supine)",Apnea Hypopnea Index (Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation) / hours of sleep in supine position from type III home sleep apnea test,,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_pb_ap0nhp5x3n_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,ahi_pb_ap0nhp5x3n_f1t3
37,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa65,"Apnea/Hypopnea Index (4% desat, supine)",Apnea Hypopnea Index (Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 4% oxygen desaturation) / hours of sleep in supine position from type III home sleep apnea test,,NA,numeric,events per hour,,ahi_pb_ap0nhp5x4n_f1t3,NA,NA,NA,ahi_pb_ap0nhp5x4n_f1t3
30,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa37,"Apnea/Hypopnea Index (all desats, non-supine)",Apnea-Hypopnea Index (Non-Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and no oxygen desaturation threshold used) / hours of sleep in non-supine position from type III home sleep apnea test,,NA,numeric,events per hour,,ahi_po_ap0nhp5x0n_f1t3,NA,NA,NA,ahi_po_ap0nhp5x0n_f1t3
33,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa46,"Apnea/Hypopnea Index (1% desat, non-supine)",Apnea Hypopnea Index (Non-Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 1% oxygen desaturation) / hours of sleep in non-supine position from type III home sleep apnea test,,NA,numeric,events per hour,,ahi_po_ap0nhp5x1n_f1t3,NA,NA,NA,ahi_po_ap0nhp5x1n_f1t3
11,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa55,"Apnea/Hypopnea Index (3% desat, non-supine)",Apnea Hypopnea Index (Non-Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation) / hours of sleep in non-supine position from type III home sleep apnea test,,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ahi_po_ap0nhp5x3n_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,ahi_po_ap0nhp5x3n_f1t3
36,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa64,"Apnea/Hypopnea Index (4% desat, non-supine)",Apnea Hypopnea Index (Non-Supine): (Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 4% oxygen desaturation) / hours of sleep in non-supine position from type III home sleep apnea test,,NA,numeric,events per hour,,ahi_po_ap0nhp5x4n_f1t3,NA,NA,NA,ahi_po_ap0nhp5x4n_f1t3
16,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa72,Apnea Index (all desats),Apnea Index: Apneas with no oxygen desaturation threshold used / hours of sleep from type III home sleep apnea test,,Calculated - Summary metric of sleep disordered breathing events.,numeric,events per hour,,ai_ap0n_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,ai_ap0n_f1t3
39,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa74,"Apnea Index (all desats, supine)",Apnea Index (Supine) : Apneas with no oxygen desaturation threshold used / hours of sleep in supine position from type III home sleep apnea test,,NA,numeric,events per hour,,ai_pb_ap0n_f1t3,NA,NA,NA,ai_pb_ap0n_f1t3
38,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa73,"Apnea Index (all desats, non-supine)",Apnea Index (Non-Supine) : Apneas with no oxygen desaturation threshold used / hours of sleep in non-supine position from type III home sleep apnea test,,NA,numeric,events per hour,,ai_po_ap0n_f1t3,NA,NA,NA,ai_po_ap0n_f1t3
40,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa81,Central Apnea Index (all desats),Central Apnea Index : Central apneas with no oxygen desaturation threshold used / hours of sleep from type III home sleep apnea test,,NA,numeric,events per hour,,cai_ca0n_f1t3,NA,NA,NA,cai_ca0n_f1t3
42,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa83,"Central Apnea Index (all desats, supine)",Central Apnea Index (Supine) : Central apneas with no oxygen desaturation threshold used / hours of sleep in supine position from type III home sleep apnea test,,NA,numeric,events per hour,,cai_pb_ca0n_f1t3,NA,NA,NA,cai_pb_ca0n_f1t3
41,Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices,slpa82,"Central Apnea Index (all desats, non-supine)",Central Apnea Index (Non-Supine) : Central apneas with no oxygen desaturation threshold used / hours of sleep in non-supine position from type III home sleep apnea test,,NA,numeric,events per hour,,cai_po_ca0n_f1t3,NA,NA,NA,cai_po_ca0n_f1t3
6,Sleep Monitoring/Polysomnography/Heart Rate,slpa113,Mean Heart Rate,Average heart rate over estimated sleep duration from type III home sleep apnea test,,"Estimated sleep duration, providing an approximation of total sleep duration (i.e. total sleep time) inferred from analysis of non-EEG channels [Zhao et al., 2017 (PMID:27707441)]( https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181603/) ",numeric,beats per minute,,avglvlhr_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Heart Rate,avglvlhr_f1t3
5,Sleep Monitoring/Polysomnography/Heart Rate,slpa112,Maximum Heart Rate,Maximum heart rate during estimated sleep duration from type III home sleep apnea test,,"Estimated sleep duration, providing an approximation of total sleep duration (i.e. total sleep time) inferred from analysis of non-EEG channels [Zhao et al., 2017 (PMID:27707441)]( https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181603/) ",numeric,beats per minute,,maxlvlhr_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Heart Rate,maxlvlhr_f1t3
4,Sleep Monitoring/Polysomnography/Heart Rate,slpa111,Minimum Heart Rate,Minimum heart rate during estimated sleep duration from type III home sleep apnea test,,"Estimated sleep duration, providing an approximation of total sleep duration (i.e. total sleep time) inferred from analysis of non-EEG channels [Zhao et al., 2017 (PMID:27707441)]( https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181603/) ",numeric,beats per minute,,minlvlhr_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Heart Rate,minlvlhr_f1t3
391,Sleep Monitoring/Polysomnography/Heart Rate,slpa114,Standard Deviation Heart Rate,Standard deviation level of heart rate from type III home sleep apnea test,,NA,numeric,beats per minute,,stdlvlhr_f1t3,NA,NA,NA,stdlvlhr_f1t3
3,Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa105,Mean SpO2 desaturation,Average oxygen desaturation over estimated sleep duration from type III home sleep apnea test,,"Estimated sleep duration, providing an approximation of total sleep duration (i.e. total sleep time) inferred from analysis of non-EEG channels [Zhao et al., 2017 (PMID:27707441)]( https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181603/) ",numeric,percent,,avglvlds_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Oxygen Saturation,avglvlds_f1t3
386,Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa107,Mean SpO2 desaturation (supine),Average level of oxygen desaturation in supine position from type III home sleep apnea test,,NA,numeric,percent,,avglvlds_pb_f1t3,NA,NA,NA,avglvlds_pb_f1t3
385,Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa106,Mean SpO2 desaturation (non-supine),Average level of oxygen desaturation in non-supine position from type III home sleep apnea test,,NA,numeric,percent,,avglvlds_po_f1t3,NA,NA,NA,avglvlds_po_f1t3
387,Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa108,Mean SpO2 desaturation nadir,Average level of nadirs from type III home sleep apnea test,,NA,numeric,percent,,avglvlnd_f1t3,NA,NA,NA,avglvlnd_f1t3
23,Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa92,Mean SpO2,Average oxygen saturation over estimated sleep duration from type III home sleep apnea test,,"Estimated sleep duration, providing an approximation of total sleep duration (i.e. total sleep time) inferred from analysis of non-EEG channels [Zhao et al., 2017 (PMID:27707441)]( https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181603/) ",numeric,percent,,avglvlsa_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Oxygen Saturation,avglvlsa_f1t3
447,Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa95,Mean SpO2 (supine),Average level of oxygen saturation in supine position from type III home sleep apnea test,,NA,numeric,percent,,avglvlsa_pb_f1t3,NA,NA,NA,avglvlsa_pb_f1t3
446,Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa94,Mean SpO2 (non-supine),Average level of oxygen saturation in non-supine position from type III home sleep apnea test,,NA,numeric,percent,,avglvlsa_po_f1t3,NA,NA,NA,avglvlsa_po_f1t3
443,Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa90,Baseline SpO2, level of oxygen saturation from type III home sleep apnea test,,NA,numeric,percent,,baslvlsa_f1t3,NA,NA,NA,baslvlsa_f1t3
444,Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa91,Minimum SpO2,Minimum from type III home sleep apnea test,,NA,numeric,percent,,minllvlsa_f1t3,NA,NA,NA,minllvlsa_f1t3
445,Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa93,Standard Deviation SpO2,Standard deviation level of oxygen saturation from type III home sleep apnea test,,NA,numeric,percent,,stdlvlsa_f1t3,NA,NA,NA,stdlvlsa_f1t3
388,Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa109,Mean SpO2 desaturation starting SpO2, ,,NA,numeric,percent,,,NA,NA,NA,NA
390,Sleep Monitoring/Polysomnography/Oxygen Saturation,slpa110,Mean SpO2 desaturation recovery, ,,NA,numeric,percent,,,NA,NA,NA,NA
415,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa39,Apnea/Hypopnea Events (all desats),Total number of apnea and hypopnea ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,,,ttlnumah_ap0nhp5x0n_f1t3,NA,NA,NA,ttlnumah_ap0nhp5x0n_f1t3
421,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa48,Apnea/Hypopnea Events (1% desat),Total number of apnea and hypopnea ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,,,ttlnumah_ap0nhp5x1n_f1t3,NA,NA,NA,ttlnumah_ap0nhp5x1n_f1t3
13,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa57,Apnea/Hypopnea Events (3% desat),Total Number of Apneas and Hypopneas: Apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation from type III home sleep apnea test,,,numeric,,,ttlnumah_ap0nhp5x3n_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Respiratory Event Counts,ttlnumah_ap0nhp5x3n_f1t3
430,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa66,Apnea/Hypopnea Events (4% desat),Total number of apnea and hypopnea ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,,,ttlnumah_ap0nhp5x4n_f1t3,NA,NA,NA,ttlnumah_ap0nhp5x4n_f1t3
417,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa41,"Apnea/Hypopnea Events (all desats, supine)",Total number of apnea and hypopnea in supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,,,ttlnumah_pb_ap0nhp5x0n_f1t3,NA,NA,NA,ttlnumah_pb_ap0nhp5x0n_f1t3
423,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa50,"Apnea/Hypopnea Events (1% desat, supine)",Total number of apnea and hypopnea in supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,,,ttlnumah_pb_ap0nhp5x1n_f1t3,NA,NA,NA,ttlnumah_pb_ap0nhp5x1n_f1t3
15,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa59,"Apnea/Hypopnea Events (3% desat, supine)",Total Number of Apneas and Hypopneas (Supine): Apneas with no oxygen desaturation threshold used + hypopneas with > 50% flow reduction and >= 3% oxygen desaturation during sleep in supine position from type III home sleep apnea test,,,numeric,,,ttlnumah_pb_ap0nhp5x3n_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Respiratory Event Counts,ttlnumah_pb_ap0nhp5x3n_f1t3
432,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa68,"Apnea/Hypopnea Events (4% desat, supine)",Total number of apnea and hypopnea in supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,,,ttlnumah_pb_ap0nhp5x4n_f1t3,NA,NA,NA,ttlnumah_pb_ap0nhp5x4n_f1t3
416,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa40,"Apnea/Hypopnea Events (all desats, non-supine)",Total number of apnea and hypopnea in non-supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,,,ttlnumah_po_ap0nhp5x0n_f1t3,NA,NA,NA,ttlnumah_po_ap0nhp5x0n_f1t3
422,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa49,"Apnea/Hypopnea Events (1% desat, non-supine)",Total number of apnea and hypopnea in non-supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,,,ttlnumah_po_ap0nhp5x1n_f1t3,NA,NA,NA,ttlnumah_po_ap0nhp5x1n_f1t3
14,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa58,"Apnea/Hypopnea Events (3% desat, non-supine)",Total Number of Apneas and Hypopneas (Non-Supine): Apneas with no oxygen desaturation threshold used + hypopneas with > 50% flow reduction and >= 3% oxygen desaturation during sleep in non-supine position from type III home sleep apnea test,,,numeric,,,ttlnumah_po_ap0nhp5x3n_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Respiratory Event Counts,ttlnumah_po_ap0nhp5x3n_f1t3
431,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa67,"Apnea/Hypopnea Events (4% desat, non-supine)",Total number of apnea and hypopnea in non-supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,,,ttlnumah_po_ap0nhp5x4n_f1t3,NA,NA,NA,ttlnumah_po_ap0nhp5x4n_f1t3
17,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa75,Apnea Events (all desats),Total number of apneas with no oxygen desaturation threshold used during sleep from type III home sleep apnea test,,,numeric,,,ttlnumap_ap0n_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Respiratory Event Counts,ttlnumap_ap0n_f1t3
19,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa77,"Apnea Events (all desats, supine)",Total number of apneas with no oxygen desaturation threshold used during sleep in supine position from type III home sleep apnea test,,,numeric,,,ttlnumap_pb_ap0n_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Respiratory Event Counts,ttlnumap_pb_ap0n_f1t3
18,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa76,"Apnea Events (all desats, non-supine)",Total number of apneas with no oxygen desaturation threshold used during sleep in non-supine position from type III home sleep apnea test,,,numeric,,,ttlnumap_po_ap0n_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Respiratory Event Counts,ttlnumap_po_ap0n_f1t3
20,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa84,Central Apnea Events (all desats),Total number of central apneas with no oxygen desaturation threshold used from type III home sleep apnea test,,,numeric,,,ttlnumca_ca0n_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Respiratory Event Counts,ttlnumca_ca0n_f1t3
22,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa86,"Central Apnea Events (all desats, supine)",Total number of central apneas with no oxygen desaturation threshold used during sleep in supine position from type III home sleep apnea test,,,numeric,,,ttlnumca_pb_ca0n_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Respiratory Event Counts,ttlnumca_pb_ca0n_f1t3
21,Sleep Monitoring/Polysomnography/Respiratory Event Counts,slpa85,"Central Apnea Events (all desats, non-supine)",Total number of central apneas with no oxygen desaturation threshold used during sleep in non-supine position from type III home sleep apnea test,,,numeric,,,ttlnumca_po_ca0n_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Respiratory Event Counts,ttlnumca_po_ca0n_f1t3
382,Sleep Monitoring/Polysomnography/Signal Quality,slpa102,Total time of artifact SpO2 (hours), ,,NA,numeric,hours,,,NA,NA,NA,NA
383,Sleep Monitoring/Polysomnography/Signal Quality,slpa103,Total time of poor SpO2 (hours), ,,NA,numeric,hours,,,NA,NA,NA,NA
384,Sleep Monitoring/Polysomnography/Signal Quality,slpa104,Percent of time with artifact SpO2, ,,NA,numeric,percent,,,NA,NA,NA,NA
9,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa35,Percent time in Supine position,Percent of total estimated sleep duration in supine position from type III home sleep apnea test,,,numeric,percent,,pctdursp_pb_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Sleep Architecture,pctdursp_pb_f1t3
7,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa33,Percent time in Non-Supine position,Percent of total estimated sleep duration in non-supine position from type III home sleep apnea test,,,numeric,percent,,pctdursp_po_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Sleep Architecture,pctdursp_po_f1t3
2,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa101,Percent Time SpO2 < 70,Percent of total estimated sleep duration with oxygen saturation < 70% from type III home sleep apnea test,,"Estimated sleep duration, providing an approximation of total sleep duration (i.e. total sleep time) inferred from analysis of non-EEG channels [Zhao et al., 2017 (PMID:27707441)]( https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181603/)",numeric,percent,,pctdursp_salt70_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Oxygen Saturation,pctdursp_salt70_f1t3
